,Gender Ratio
Alabama,0.938
Alaska,1.09
Arizona,0.988
Arkansas,0.971
California,0.988
Colorado,1.012
Connecticut,0.953
Delaware,0.938
District of Columbia,0.902
Florida,0.956
Georgia,0.946
Hawaii,1.007
Idaho,1.01
Illinois,0.967
Indiana,0.972
Iowa,0.987
Kansas,0.995
Kentucky,0.971
Louisiana,0.956
Maine,0.961
Maryland,0.942
Massachusetts,0.945
Michigan,0.971
Minnesota,0.995
Mississippi,0.941
Missouri,0.965
Montana,1.004
Nebraska,0.998
Nevada,1.01
New Hampshire,0.983
New Jersey,0.954
New Mexico,0.981
New York,0.944
North Carolina,0.948
North Dakota,1.058
Ohio,0.96
Oklahoma,0.983
Oregon,0.983
Pennsylvania,0.96
Rhode Island,0.939
South Carolina,0.942
South Dakota,1.017
Tennessee,0.95
Texas,0.987
Utah,1.016
Vermont,0.975
Virginia,0.967
Washington,0.988
West Virginia,0.977
Wisconsin,0.988
Wyoming,1.043
United States,
