,Year,Cause Name,State,Death Counts,State Population(adjusted by year),"Deaths per 100,000 people",Alcohol Consumption,Drunk Driving Penalties,Legal Driving Age,Rural Freeway Speed Limits,Gun Laws,Summer Temperature,Mean Temperature,Winter Temperature,Unemployment Rate,Average Income,Quality of Life,Kids Proportion,Adult Proportion,Elderly Proportion,Smoking Proportion,Air Pollution,Overweight Proportion,High Blood Pressure Proportion,Gender Ratio,Cancer Death Proportion,AD Death Proportion
0,2016,Unintentional injuries,Wyoming,371,584290.0,63.5,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,"57,829",11.0,23.6,64.7,11.7,18.7,5.0,27.7,30.8,1.043,164.64,23.62
1,2016,Unintentional injuries,Wisconsin,3575,5772958.0,61.92999999999999,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,"59,817",3.0,22.1,64.8,13.1,16.0,6.8,30.7,30.8,0.988,199.17,39.08
2,2016,Unintentional injuries,West Virginia,1705,1830929.0,93.12,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,"44,354",45.0,22.4,62.3,15.3,26.0,7.8,37.7,43.5,0.977,254.46,42.93
3,2016,Unintentional injuries,Washington,3221,7294680.0,44.16,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,"70,310",21.0,22.2,66.6,11.2,13.5,8.0,28.6,29.5,0.988,172.65,44.81
4,2016,Unintentional injuries,Virginia,3710,8410946.0,44.11,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,"66,451",41.0,22.1,66.7,11.2,16.4,7.2,29.0,32.4,0.9670000000000001,178.66,28.63
5,2016,Unintentional injuries,Vermont,372,623644.0,59.65000000000001,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,"60,837",26.0,18.7,68.6,12.7,15.8,5.2,27.1,30.4,0.975,217.43,49.71
6,2016,Unintentional injuries,Utah,1211,3042613.0,39.8,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,"67,481",22.0,29.9,61.6,8.5,8.9,8.3,25.4,24.5,1.016,102.71,29.71
7,2016,Unintentional injuries,United States,161374,323071342.0,49.95,,,,,,,,,,"59,039",,,,,,,,,,185.11,35.94
8,2016,Unintentional injuries,Texas,10536,27937492.0,37.71,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,"58,146",46.0,26.0,64.1,9.9,15.7,8.6,34.8,32.5,0.987,143.87,32.7
9,2016,Unintentional injuries,Tennessee,4238,6645011.0,63.78,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,"51,344",28.0,22.4,65.2,12.4,22.6,7.7,29.6,38.7,0.95,217.46,48.91
10,2016,Unintentional injuries,South Dakota,505,862890.0,58.52,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,"57,450",5.0,24.7,61.0,14.3,19.3,5.4,32.3,30.8,1.0170000000000001,196.32,52.03
11,2016,Unintentional injuries,South Carolina,3012,4958235.0,60.75000000000001,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,"54,336",30.0,22.0,65.9,12.1,18.8,7.4,26.6,38.1,0.9420000000000001,208.86,50.03999999999999
12,2016,Unintentional injuries,Rhode Island,675,1057063.0,63.85999999999999,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,"61,528",23.0,19.6,65.9,14.5,14.9,7.6,30.7,33.1,0.9390000000000001,205.38,39.92
13,2016,Unintentional injuries,Pennsylvania,8410,12783538.0,65.79,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,"60,979",44.0,20.8,63.6,15.6,18.7,9.7,30.3,32.6,0.96,222.88,32.74
14,2016,Unintentional injuries,Oregon,2105,4091404.0,51.45,1.0,0.0,16.0,65.0,3.0,63.7,48.4,34.0,4.0,"59,135",18.0,21.1,66.1,12.8,16.1,7.7,28.7,30.1,0.983,197.44,43.65
15,2016,Unintentional injuries,Oklahoma,2592,3926769.0,66.01,1.0,1.0,16.0,75.0,4.0,79.6,59.6,39.1,4.4,"50,943",17.0,24.4,62.4,13.2,20.1,7.9,32.8,37.7,0.983,206.66000000000003,40.49
16,2016,Unintentional injuries,Ohio,7999,11635003.0,68.75,1.0,0.0,16.0,70.0,4.0,70.9,50.7,29.5,2.6,"53,985",40.0,22.3,64.4,13.3,21.1,9.0,31.5,34.7,0.96,219.24,43.24
17,2016,Unintentional injuries,North Dakota,371,754353.0,49.18,0.0,1.0,15.0,75.0,4.0,66.6,40.4,12.2,4.5,"60,184",1.0,23.3,62.0,14.7,18.3,4.5,31.9,29.5,1.058,166.1,47.86
18,2016,Unintentional injuries,North Carolina,5476,10156679.0,53.92,0.0,0.0,16.0,70.0,4.0,75.7,59.0,42.1,4.6,"53,764",34.0,22.4,65.6,12.0,17.2,7.4,31.8,34.7,0.948,192.22,40.89
19,2016,Unintentional injuries,New York,7354,19641589.0,37.44,1.0,0.0,16.5,65.0,1.0,66.5,45.4,23.3,5.6,"61,437",37.0,20.9,66.2,12.9,14.1,7.0,25.5,29.4,0.9440000000000001,180.07,17.05
20,2016,Unintentional injuries,New Mexico,1487,2092789.0,71.05,1.0,1.0,15.5,75.0,4.0,71.4,53.4,36.1,4.6,"48,451",8.0,23.4,64.9,11.7,17.5,5.8,28.3,30.5,0.981,170.11,27.860000000000007
21,2016,Unintentional injuries,New Jersey,3839,8874516.0,43.26,1.0,0.0,17.0,65.0,1.0,72.2,52.7,33.0,2.6,"68,468",49.0,22.0,64.8,13.2,13.7,8.3,27.4,33.0,0.9540000000000001,184.54,27.44
22,2016,Unintentional injuries,New Hampshire,924,1342373.0,68.83,0.0,1.0,16.0,65.0,5.0,65.5,43.8,21.1,4.9,"76,260",4.0,19.3,68.7,12.0,15.7,5.0,26.6,30.0,0.983,214.17,32.029999999999994
23,2016,Unintentional injuries,Nevada,1395,2919772.0,47.78,1.0,1.0,16.0,75.0,3.0,69.0,49.9,32.2,2.8,"55,431",43.0,22.9,66.1,11.0,17.6,8.8,25.8,32.6,1.01,178.58,23.49
24,2016,Unintentional injuries,Nebraska,772,1905924.0,40.51000000000001,1.0,1.0,16.0,75.0,3.0,71.8,48.8,25.7,4.1,"59,374",14.0,24.8,61.6,13.6,15.4,7.1,32.0,30.6,0.998,182.43,33.26
25,2016,Unintentional injuries,Montana,626,1040863.0,60.14000000000001,1.0,1.0,15.0,75.0,4.0,64.2,42.7,21.2,3.6,"57,075",13.0,21.8,64.8,13.4,17.2,6.8,25.5,29.0,1.004,195.13,30.17
26,2016,Unintentional injuries,Missouri,3625,6087203.0,59.55,0.0,1.0,16.0,70.0,5.0,75.4,54.5,32.3,4.5,"55,016",15.0,22.6,63.9,13.5,20.8,7.9,31.7,32.0,0.965,208.57,37.82
27,2016,Unintentional injuries,Mississippi,1803,2988298.0,60.34,1.0,0.0,16.0,70.0,5.0,79.5,63.4,46.7,3.2,"41,099",6.0,23.9,64.0,12.1,22.2,7.6,37.3,40.8,0.941,219.79,49.69
28,2016,Unintentional injuries,Minnesota,2697,5523409.0,48.83,1.0,1.0,16.0,70.0,2.0,66.8,41.2,12.5,4.7,"70,218",2.0,23.3,64.6,12.1,14.5,7.1,27.8,26.6,0.995,178.46,40.17
29,2016,Unintentional injuries,Michigan,5313,9951890.0,53.39,0.0,0.0,16.0,70.0,3.0,66.2,44.4,21.7,3.5,"57,091",29.0,21.8,65.9,12.3,19.3,8.3,32.5,34.7,0.971,209.71,42.7
30,2016,Unintentional injuries,Massachusetts,3831,6826022.0,56.12000000000001,1.0,0.0,16.5,65.0,2.0,68.0,47.9,27.4,4.3,"72,266",25.0,20.0,66.5,13.5,13.7,6.0,23.6,28.6,0.945,186.3,25.02
31,2016,Unintentional injuries,Maryland,2271,6004692.0,37.82,1.0,1.0,16.5,65.0,1.0,73.3,54.2,34.7,2.7,"73,760",31.0,22.3,66.4,11.3,13.8,8.3,29.9,32.4,0.9420000000000001,181.71,19.62
32,2016,Unintentional injuries,Maine,909,1331370.0,68.28,1.0,0.0,16.0,75.0,5.0,63.7,41.0,16.8,4.4,"50,856",12.0,18.9,66.7,14.4,17.3,6.5,29.9,34.8,0.961,245.99,43.34
33,2016,Unintentional injuries,Louisiana,2710,4678215.0,57.93000000000001,1.0,0.0,16.0,75.0,3.0,81.1,66.4,50.9,4.0,"42,196",42.0,23.7,64.7,11.6,23.1,8.0,35.5,39.0,0.956,195.57,46.92
