"Alcohol Consumption" "Drunk Driving Penalties" "Legal Driving Age" "Rural Freeway Speed Limits" "Gun Laws" "Summer Temperature" "Mean Temperature" "Winter Temperature" "Unemployment Rate" "Average Income" "Quality of Life" "Kids Proportion" "Adult Proportion" "Elderly Proportion" "Smoking Proportion" "Air Pollution" "Overweight Proportion" "High Blood Pressure Proportion"
"Alcohol Consumption" 1 0.190610934052468 0.0572073982247013 -0.0127415174929735 -0.437433200338521 -0.104616797783265 -0.0556324161538466 -0.0213646217072772 0.00144490831440509 0.295058390649068 -0.0288732886948015 0.0186477554398601 0.252064723355832 -0.274372847857896 -0.176361055715447 0.041935061093443 -0.192505795843091 -0.18813305627738
"Drunk Driving Penalties" 0.190610934052468 1 -0.143110296374148 0.178808733949582 -0.0319964166019996 -0.0217775752282783 0.0004097096400803 0.00200500818933169 -0.087060233290217 0.0711709947561017 -0.22385024561495 0.11590852676279 -0.0237126360779602 -0.0952183931991463 -0.111109902982435 -0.159172707277104 -0.132550924983087 -0.250259233587178
"Legal Driving Age" 0.0572073982247013 -0.143110296374148 1 -0.478242668099982 -0.362444774805255 0.127553443257973 0.16744027739925 0.176429307275128 -0.00467989041346249 0.34662058380919 0.438651351292536 -0.313241185559091 0.33627144529365 -0.0182383908085916 -0.113914892722213 0.39379426284111 -0.0313229131193139 0.139043851801712
"Rural Freeway Speed Limits" -0.0127415174929735 0.178808733949582 -0.478242668099982 1 0.416535628081117 0.230620758714857 0.0826458603458006 0.0158157117725886 -0.138424600348356 -0.449780250888672 -0.15136025677076 0.574911735543653 -0.437927336145554 -0.14800280038419 0.147822971970446 -0.0265092732836551 0.207874873590491 -0.00117155427154051
"Gun Laws" -0.437433200338521 -0.0319964166019996 -0.362444774805255 0.416535628081117 1 -0.0651176002809632 -0.167372859028262 -0.20080084099586 0.0607728910707405 -0.504591982119321 -0.3038906424859 0.171504225076072 -0.166522761533111 -0.00782329199605566 0.464355875554402 -0.26946109402772 0.352273594884655 0.215210187431351
"Summer Temperature" -0.104616797783265 -0.0217775752282783 0.127553443257973 0.230620758714857 -0.0651176002809632 1 0.912212000039421 0.789213966014765 -0.212096742204119 -0.443441814870188 0.319375228611882 0.170781138797926 -0.410499077055294 0.23992324185515 0.239180288805027 0.356172605975582 0.408319780083818 0.535455804726556
"Mean Temperature" -0.0556324161538466 0.0004097096400803 0.16744027739925 0.0826458603458006 -0.167372859028262 0.912212000039421 1 0.969916034890578 -0.153071429653027 -0.338020026570783 0.426770196807254 0.0561518219790893 -0.246130967623807 0.191425565711976 0.1242736728734 0.354438783433209 0.232097279624541 0.484733902129409
"Winter Temperature" -0.0213646217072772 0.00200500818933169 0.176429307275128 0.0158157117725886 -0.20080084099586 0.789213966014765 0.969916034890578 1 -0.103393321756032 -0.251170322500105 0.4611209685815 0.0134055453020964 -0.128876400215149 0.11668593062327 0.0466523066652833 0.342015351612784 0.105996719688306 0.414335455228259
"Unemployment Rate" 0.00144490831440509 -0.087060233290217 -0.00467989041346249 -0.138424600348356 0.0607728910707405 -0.212096742204119 -0.153071429653027 -0.103393321756032 1 0.121198962294174 -0.0392745065622352 -0.103103283265997 0.20070201559567 -0.0971381355310149 0.13478359837886 -0.0756085206497943 0.0693414051804235 0.0153660174318222
"Average Income" 0.295058390649068 0.0711709947561017 0.34662058380919 -0.449780250888672 -0.504591982119321 -0.443441814870188 -0.338020026570783 -0.251170322500105 0.121198962294174 1 0.0944831278268617 -0.152130611604943 0.446586048907317 -0.295642060336929 -0.682158771116129 -0.0703799904277124 -0.584728697270008 -0.624929186581896
"Quality of Life" -0.0288732886948015 -0.22385024561495 0.438651351292536 -0.15136025677076 -0.3038906424859 0.319375228611882 0.426770196807254 0.4611209685815 -0.0392745065622352 0.0944831278268617 1 -0.0838568734530203 0.137074293827682 -0.0525182677034962 -0.0280301609530613 0.666756518241486 -0.00140282861592299 0.223850847722388
"Kids Proportion" 0.0186477554398601 0.11590852676279 -0.313241185559091 0.574911735543653 0.171504225076072 0.170781138797926 0.0561518219790893 0.0134055453020964 -0.103103283265997 -0.152130611604943 -0.0838568734530203 1 -0.519991247224989 -0.502172812540002 0.0215291260218779 0.171581818800029 0.247933780794233 -0.0814519804472795
"Adult Proportion" 0.252064723355832 -0.0237126360779602 0.33627144529365 -0.437927336145554 -0.166522761533111 -0.410499077055294 -0.246130967623807 -0.128876400215149 0.20070201559567 0.446586048907317 0.137074293827682 -0.519991247224989 1 -0.477534183015519 -0.191313590986934 -0.00283777024754974 -0.403219011533348 -0.180485884796178
"Elderly Proportion" -0.274372847857896 -0.0952183931991463 -0.0182383908085916 -0.14800280038419 -0.00782329199605566 0.23992324185515 0.191425565711976 0.11668593062327 -0.0971381355310149 -0.295642060336929 -0.0525182677034962 -0.502172812540002 -0.477534183015519 1 0.171541601176673 -0.173618552724058 0.153192553375459 0.266507427052862
